CandidateID,FirstName,LastName,DepartmentID,JobRoleID,ApplicationDate,RecruitmentSource,Stage
CAN000025,Angela,Abiola,DEP007,JR054,2019-12-04,Company Website,Shortlisted
CAN000026,Simon,Obasanjo,DEP001,JR008,2024-02-08,LinkedIn,Rejected
CAN000027,Hope,Oshodi,DEP002,JR010,2022-04-02,Campus Recruitment,Interviewed
CAN000028,Gabriel,Oshodi,DEP014,JR095,2025-05-28,Job Portal,Applied
CAN000029,Mary,Eze,DEP015,JR106,2023-05-09,Job Portal,Shortlisted
CAN000030,Samuel,Akinwale,DEP010,JR071,2019-01-22,Company Website,Interviewed
CAN000031,Sarah,Okafor,DEP006,JR044,2020-01-01,Campus Recruitment,Interviewed
CAN000032,Deborah,Obasanjo,DEP012,JR083,2019-09-11,LinkedIn,Shortlisted
CAN000033,Joshua,Eze,DEP011,JR078,2024-09-08,LinkedIn,Interviewed
CAN000034,Samuel,Oshodi,DEP003,JR024,2022-02-07,LinkedIn,Rejected
CAN000035,Samuel,Obasanjo,DEP004,JR026,2023-02-21,Job Portal,Shortlisted
CAN000036,James,Eze,DEP001,JR007,2021-10-06,LinkedIn,Applied
CAN000037,Nathaniel,Akinwale,DEP007,JR057,2019-08-04,Job Portal,Rejected
CAN000038,Deborah,Balogun,DEP011,JR078,2024-12-04,Indeed,Applied
CAN000039,Sarah,Abiola,DEP006,JR046,2021-07-25,LinkedIn,Hired
CAN000040,Joshua,Obi,DEP002,JR013,2021-07-08,Referral,Rejected
CAN000041,Joshua,Okonkwo,DEP003,JR019,2020-01-28,Indeed,Shortlisted
CAN000042,Patience,Adetokunbo,DEP011,JR080,2020-02-12,Company Website,Hired
CAN000043,Philip,Ibrahim,DEP005,JR039,2020-02-04,Campus Recruitment,Rejected
CAN000044,Grace,,DEP012,JR087,2022-04-24,Job Portal,Interviewed
CAN000045,Agnes,Chukwu,DEP004,JR029,2025-06-20,Job Portal,Shortlisted
CAN000046,Ruth,Obasanjo,DEP009,JR064,2020-10-19,Job Portal,Rejected
CAN000047,Paul,Adeyemi,DEP014,JR096,2024-12-01,Campus Recruitment,Interviewed
CAN000048,Joshua,Olawale,DEP003,JR019,2023-06-25,Referral,Shortlisted
CAN000049,Ruth,Obasanjo,DEP006,JR046,2025-06-21,Referral,Shortlisted
CAN000050,Philip,Olawale,DEP015,JR105,2023-08-11,Company Website,Applied
CAN000051,Comfort,Oshodi,DEP003,JR018,2025-03-07,Campus Recruitment,Shortlisted
CAN000052,Simon,Ojo,DEP004,JR028,2022-09-28,Campus Recruitment,Shortlisted
CAN000053,Ruth,Abiola,DEP011,JR074,2019-11-08,Company Website,Applied
CAN000054,Cornelius,Nnamani,DEP007,JR051,2023-08-22,Job Portal,Applied
CAN000055,Faith,Obi,DEP015,JR105,2019-10-11,Job Portal,Applied
CAN000056,,Oshodi,DEP010,JR073,2025-01-07,Company Website,Offered
CAN000057,Hope,Okonkwo,DEP005,JR037,2023-05-05,Referral ,Rejected
CAN000058,Mark,Eze,DEP002,JR012,2023-04-08,LinkedIn,Applied
CAN000059,Joy,Ogunleye,DEP002,JR013,2022-12-16,Company Website,Offered
CAN000060,Cornelius,Abiola,DEP015,JR104,2019-04-08,LinkedIn,Interviewed
CAN000061,Ruth,Balogun,DEP004,JR030,2021-07-24,Campus Recruitment,Shortlisted
CAN000062,Blessing,Obasanjo,DEP013,JR093,2021-08-22,Company Website,Hired
CAN000063,Simon,Oyekan,DEP012,JR082,2021-05-01,Company Website,Applied
CAN000064,Hope,Obi,DEP010,JR072,2024-09-08,Campus Recruitment,Hired
CAN000065,Blessing,Adeyemi,DEP012,JR083,2019-06-02,LinkedIn,Interviewed
CAN000066,Patience,Balogun,DEP009,JR064,2025-05-17,LinkedIn,Hired
CAN000067,David,Obi,DEP001,JR007,2025-11-23,Company Website,Interviewed
CAN000068,Samuel,Olawale,DEP013,JR094,2024-09-13,Company Website,Shortlisted
CAN000069,Sarah,Ojo,DEP003,JR022,2020-12-09,Company Website,Shortlisted
CAN000070,,Abiola,DEP002,JR015,2020-12-25,Job Portal,Shortlisted
CAN000071,Andrew,Abiola,DEP011,JR076,2020-01-23,Campus Recruitment,Offered
CAN000072,Grace,Chukwu,DEP014,JR097,2024-01-09,Referral,Hired
CAN000073,Michael,Ogunleye,DEP009,JR064,2024-08-10,Company Website,Rejected
CAN000074,Angela,Ekwueme,DEP006,JR049,2022-02-20,LinkedIn,Offered
CAN000075,Patience,Adeyemi,DEP012,JR087,2021-11-10,Company Website,Hired
CAN000076,Benjamin,Ibrahim,DEP006,JR048,2021-11-18,LinkedIn,Hired
CAN000077,Gloria,Ekwueme,DEP004,JR032,2024-07-17,Company Website,Rejected
CAN000078,Nathaniel,Olawale,DEP002,JR009,2019-10-20,Company Website,Hired
CAN000079,Michael,,DEP013,JR094,2023-12-12,Job Portal,Offered
CAN000080,Victoria,Balogun,DEP011,JR074,2025-06-23,Referral,Hired
CAN000081,Samuel,Ojo,DEP004,JR031,2019-10-21,LinkedIn,Interviewed
CAN000082,Paul,Adeyemi,DEP001,JR001,2024-05-14,LinkedIn,Applied
CAN000083,Grace,Nnamani,DEP010,JR073,2025-11-20,LinkedIn,Applied
CAN000084,Daniel,Ogunleye,DEP012,JR087,2024-07-20,LinkedIn,Interviewed
CAN000085,Joy,Okafor,DEP007,JR057,2025-06-16,Campus Recruitment,Applied
CAN000086,Gabriel,Nnamani,DEP002,JR009,2025-07-18,Referral,Offered
CAN000087,Mary,Olawale,DEP003,JR022,2021-05-01,Referral,Hired
CAN000088,Deborah,Adetokunbo,DEP015,JR104,2025-03-12,Company Website,Interviewed
CAN000089,Joy,Obi,DEP010,JR070,2022-01-04,Job Portal,Hired
CAN000090,Blessing,Adeyemi,DEP011,JR074,2021-03-02,Referral,Hired
CAN000091,Elizabeth,Ojo,DEP004,JR025,2019-01-07,Referral,Offered
CAN000092,Benjamin,Okafor,DEP003,JR024,2019-06-16,Job Portal,Shortlisted
CAN000093,Grace,Okafor,DEP010,JR073,2024-12-18,Referral,Offered
CAN000094,Joshua,Okonkwo,DEP001,JR002,2024-07-27,Referral,Interviewed
CAN000095,Gabriel,Abiola,DEP011,JR077,2021-05-15,Company Website,Offered
CAN000096,David,Okonkwo,DEP002,JR014,2021-10-02,Campus Recruitment,Interviewed
CAN000097,Simon,Obasanjo,DEP014,JR099,2022-05-24,Company Website,Applied
CAN000098,Mark,Obi,DEP013,JR091,2023-10-23,Campus Recruitment,Applied
CAN000099,Peter,Oyekan,DEP002,JR015,2023-10-23,Job Portal,Applied
CAN000100,Juliet,Ibrahim,DEP013,JR089,2019-07-26,NIL,Interviewed
CAN000101,Ruth,Adetokunbo,DEP003,JR021,2024-05-15,LinkedIn,Applied
CAN000102,Victoria,Obasanjo,DEP011,JR076,2020-10-08,Campus Recruitment,Applied
CAN000103,James,Abiola,DEP013,JR090,2020-12-18,Company Website,Shortlisted
CAN000104,Emmanuel,Akinwale,DEP001,JR007,2020-11-09,Company Website,Interviewed
CAN000105,Comfort,Ogunleye,DEP013,JR094,2019-02-14,Company Website,Interviewed
CAN000106,Agnes,Ekwueme,DEP004,JR031,2020-05-01,Referral,Rejected
CAN000107,Sarah,Obasanjo,DEP013,JR092,2020-08-16,LinkedIn,Shortlisted
CAN000108,Philip,Olawale,DEP004,JR026,2020-03-09,Campus Recruitment,Interviewed
CAN000109,Comfort,Obasanjo,DEP003,JR022,2019-07-16,Campus Recruitment,Hired
CAN000110,Blessing,Oyekan,DEP007,JR051,2021-06-23,Campus Recruitment,Interviewed
CAN000111,Comfort,Ojo,DEP007,JR055,2025-08-17,Job Portal,Applied
CAN000112,Sarah,Abiola,DEP004,JR034,2021-12-01,Company Website,Hired
CAN000113,Patience,Balogun,DEP001,JR008,2024-03-11,Campus Recruitment,Shortlisted
CAN000114,Nathaniel,Olawale,DEP008,JR062,2021-11-26,Referral,Offered
CAN000115,Gloria,Akinwale,DEP009,JR066,2019-01-26,Job Portal,Offered
CAN000116,Andrew,Olawale,DEP015,JR101,2023-10-07,Campus Recruitment,Hired
CAN000117,Paul,Oshodi,DEP014,JR096,2019-01-26,Campus Recruitment,Rejected
CAN000118,Angela,Chukwu,DEP007,JR052,2024-10-21,Company Website,Shortlisted
CAN000119,Emmanuel,Adetokunbo,DEP015,JR104,2025-05-28,Company Website,Interviewed
CAN000120,Patience,Uche,DEP013,JR094,2019-03-27,Company Website,Applied
CAN000121,Faith,Ibrahim,DEP012,JR086,2022-10-09,Referral,Applied
CAN000122,Peace,Ekwueme,DEP006,JR044,2021-06-20,Company Website,Rejected
CAN000123,Faith,Obasanjo,DEP004,JR028,2020-01-09,LinkedIn,Interviewed
CAN000124,Andrew,Olawale,DEP001,JR004,2019-09-12,Campus Recruitment,Interviewed
CAN000125,Joshua,Ibrahim,DEP010,JR070,2025-06-06,Job Portal,Interviewed
CAN000126,,Olawale,DEP010,JR072,2023-05-25,LinkedIn,Rejected
CAN000127,Benjamin,Adetokunbo,DEP012,JR088,2023-06-24,Referral,Hired
CAN000128,John,Okonkwo,DEP009,JR066,2024-09-03,Referral ,Hired
CAN000129,Grace,Obi,DEP006,JR046,2021-12-02,Job Portal,Applied
CAN000130,Victoria,Eze,DEP009,JR065,2021-01-12,LinkedIn,Hired
CAN000131,Peace,Okonkwo,DEP015,JR106,2025-01-19,Job Portal,Interviewed
CAN000132,Sarah,Ekwueme,DEP005,JR038,2019-11-11,LinkedIn,Applied
CAN000133,Peter,Eze,DEP012,JR084,2025-09-10,LinkedIn,Offered
CAN000134,Joshua,Akinwale,DEP012,JR082,2024-10-06,Campus Recruitment,Interviewed
CAN000135,Blessing,Oshodi,DEP005,JR035,2022-04-13,Job Portal,Rejected
CAN000136,Mark,Ibrahim,DEP015,JR104,2020-05-03,Job Portal,Interviewed
CAN000137,Benjamin,Ekwueme,DEP007,JR052,2024-10-02,Job Portal,Applied
CAN000138,Andrew,Oshodi,DEP005,JR039,2024-08-23,Company Website,Rejected
CAN000139,Hope,Chukwu,DEP006,JR043,2024-02-05,LinkedIn,Rejected
CAN000140,Andrew,Akinwale,DEP009,JR067,2021-11-06,Referral,Offered
CAN000141,Gloria,Obi,DEP015,JR106,2023-06-26,Company Website,Shortlisted
CAN000142,Hope,Obasanjo,DEP002,JR009,2019-06-22,Company Website,Rejected
CAN000143,Hope,Oshodi,DEP004,JR033,2024-10-28,Company Website,Interviewed
CAN000144,Philip,Balogun,DEP012,JR085,2022-01-24,Referral,Applied
CAN000145,,Olawale,DEP011,JR077,2024-01-05,LinkedIn,Applied
CAN000146,,Ogunleye,DEP002,JR015,2021-02-18,Referral,Applied
CAN000147,Joseph,Ojo,DEP011,JR075,2020-06-23,Referral,Rejected
CAN000148,Victoria,Ogunleye,DEP005,JR040,2022-12-02,Company Website,Applied
CAN000149,Grace,Uche,DEP013,JR092,2023-06-11,Referral,Shortlisted
CAN000150,Sarah,Oshodi,DEP002,JR015,2021-11-07,Referral,Hired
CAN000151,Elizabeth,Ojo,DEP002,JR009,2020-09-02,Referral,Offered
CAN000152,David,Ogunleye,DEP011,JR080,2020-10-15,Company Website,Rejected
CAN000153,Philip,Okonkwo,DEP003,JR018,2019-04-25,Campus Recruitment,Hired
CAN000154,Juliet,Uche,DEP002,JR014,2022-11-14,Company Website,Shortlisted
CAN000155,Charity,Oshodi,DEP015,JR105,2021-02-10,LinkedIn,Hired
CAN000156,Sarah,Ibrahim,DEP012,JR085,2023-12-01,Referral,Applied
CAN000157,Joseph,Abiola,DEP011,JR080,2023-09-16,LinkedIn,Rejected
CAN000158,Cornelius,Adetokunbo,DEP001,JR008,2023-08-25,Job Portal,Interviewed
CAN000159,Paul,Olawale,DEP015,JR106,2022-04-20,Company Website,Hired
CAN000160,Benjamin,Ogunleye,DEP001,JR003,2025-03-13,Company Website,Interviewed
CAN000161,Mark,Adetokunbo,DEP005,JR040,2024-03-22,Job Portal,Hired
CAN000162,,Chukwu,DEP001,JR005,2020-12-25,Referral,Shortlisted
CAN000163,Gloria,Adeyemi,DEP001,JR003,2024-05-25,Company Website,Offered
CAN000164,Mary,Oshodi,DEP013,JR094,2019-04-18,Campus Recruitment,Offered
CAN000165,,Obasanjo,DEP010,JR073,2022-08-19,Job Portal,Offered
CAN000166,Charity,Olawale,DEP009,JR066,2023-07-04,Job Portal,Offered
CAN000167,Stephen,Adetokunbo,DEP009,JR067,2025-01-07,Campus Recruitment,Interviewed
CAN000168,Philip,Adetokunbo,DEP003,JR022,2019-09-11,Referral,Applied
CAN000169,Joseph,Abiola,DEP004,JR031,2023-09-25,Campus Recruitment,Shortlisted
CAN000170,Juliet,Obi,DEP002,JR012,2023-03-13,Company Website,Hired
CAN000171,Sarah,Adetokunbo,DEP014,JR097,2020-09-17,Referral,Applied
CAN000172,Charity,Olawale,DEP001,JR004,2020-01-24,Campus Recruitment,Rejected
CAN000173,Nathaniel,Uche,DEP015,JR104,2024-02-14,Campus Recruitment,Offered
CAN000174,Peter,Obi,DEP008,JR060,2019-09-24,LinkedIn,Hired
CAN000175,Ruth,Uche,DEP005,JR041,2025-10-12,Company Website,Hired
CAN000176,Mark,Obasanjo,DEP006,JR046,2021-07-14,Job Portal,Hired
CAN000177,Gabriel,Ogunleye,DEP007,JR050,2024-09-07,Company Website,Applied
CAN000178,Elizabeth,Obi,DEP007,JR056,2024-01-12,Company Website,Shortlisted
CAN000179,Paul,Chukwu,DEP008,JR061,2020-05-05,Campus Recruitment,Hired
CAN000180,James,Chukwu,DEP014,JR097,2024-12-01,Job Portal,Offered
CAN000181,Daniel,Eze,DEP013,JR094,2021-09-19,Referral,Applied
CAN000182,Nathaniel,Nnamani,DEP002,JR011,2022-07-28,Campus Recruitment,Offered
CAN000183,Joseph,Nnamani,DEP005,JR035,2025-07-19,Referral,Hired
CAN000184,Michael,Uche,DEP014,JR100,2022-12-27,Referral,Hired
CAN000185,Andrew,Obi,DEP009,JR065,2025-05-16,Company Website,Interviewed
CAN000186,Stephen,Ogunleye,DEP011,JR079,2019-01-16,Referral,Rejected
CAN000187,Comfort,Ibrahim,DEP008,JR059,2025-05-23,Job Portal,Rejected
CAN000188,Joy,Ogunleye,DEP013,JR091,2025-10-10,LinkedIn,Rejected
CAN000189,Simon,Obasanjo,DEP009,JR066,2021-08-28,Referral,Offered
CAN000190,Esther,Oshodi,DEP004,JR032,2021-03-26,Campus Recruitment,Applied
CAN000191,Benjamin,Olawale,DEP007,JR051,2022-09-17,Referral,Shortlisted
CAN000192,Emmanuel,Akinwale,DEP010,JR071,2025-03-27,Walk In,Shortlisted
CAN000193,Gloria,Nnamani,DEP012,JR083,2021-01-05,Campus Recruitment,Rejected
CAN000194,Michael,Nnamani,DEP005,JR040,2020-08-15,LinkedIn,Offered
CAN000195,Victoria,Adeyemi,DEP010,JR071,2024-07-21,Indeed,Offered
CAN000196,Comfort,Ogunleye,DEP007,JR052,2021-09-05,Company Website,Applied
CAN000197,Blessing,Ibrahim,DEP011,JR076,2024-09-17,LinkedIn,Applied
CAN000198,Gloria,Obasanjo,DEP010,JR069,2020-10-27,Referral,Hired
CAN000199,David,Nnamani,DEP012,JR082,2022-06-28,LinkedIn,Applied
CAN000200,Andrew,Adetokunbo,DEP004,JR028,2019-11-02,Referral,Applied
CAN000201,James,Nnamani,DEP007,JR050,2019-02-13,Referral,Applied
CAN000202,Grace,Abiola,DEP003,JR022,2022-10-11,Job Portal,Rejected
CAN000203,Paul,Balogun,DEP015,JR105,2025-10-26,Job Portal,Hired
CAN000204,Charity,Oshodi,DEP007,JR055,2019-04-04,LinkedIn,Interviewed
CAN000205,Benjamin,Uche,DEP001,JR003,2023-07-19,LinkedIn,Rejected
CAN000206,Philip,Nnamani,DEP008,JR062,2019-04-27,Campus Recruitment,Offered
CAN000207,Philip,Oyekan,DEP002,JR013,2021-05-06,Company Website,Applied
CAN000208,John,Obasanjo,DEP010,JR071,2019-07-04,Campus Recruitment,Applied
CAN000209,Paul,Obi,DEP002,JR010,2020-07-07,Company Website,Offered
CAN000210,Simon,Okonkwo,DEP011,JR079,2021-09-21,Referral,Shortlisted
CAN000211,Faith,Ibrahim,DEP004,JR027,2023-11-11,Company Website,Rejected
CAN000212,Joy,Ibrahim,DEP014,JR100,2024-01-04,Campus Recruitment,Hired
CAN000213,Joseph,Balogun,DEP003,JR023,2022-06-12,Company Website,Applied
CAN000214,Cornelius,Oshodi,DEP004,JR032,2019-01-25,Job Portal,Offered
CAN000215,Victoria,Obi,DEP003,JR017,2024-09-13,linkedin,Rejected
CAN000216,Nathaniel,Balogun,DEP002,JR012,2023-12-27,Campus Recruitment,Applied
CAN000217,Mary,Ojo,DEP014,JR097,2022-12-22,Job Portal,Offered
CAN000218,Agnes,Oyekan,DEP015,JR106,2023-09-28,Referral,Hired
CAN000219,Sarah,Ogunleye,DEP015,JR102,2025-01-22,Company Website,Applied
CAN000220,Hope,Nnamani,DEP007,JR054,2020-03-09,LinkedIn,Interviewed
CAN000221,James,Chukwu,DEP008,JR059,2025-07-21,Referral,Rejected
CAN000222,Nathaniel,Adeyemi,DEP008,JR059,2021-06-26,Job Portal,Applied
CAN000223,Joshua,Ekwueme,DEP005,JR037,2021-04-22,Referral,Applied
CAN000224,James,Obi,DEP008,JR060,2025-10-09,Company Website,Applied
CAN000225,Joshua,Oyekan,DEP009,JR065,2023-11-15,LinkedIn,Hired
CAN000226,Esther,Nnamani,DEP012,JR087,2023-09-18,Referral,Hired
CAN000227,Comfort,Eze,DEP010,JR070,2022-06-21,Job Portal,Shortlisted
CAN000228,Faith,Adetokunbo,DEP008,JR062,2025-02-20,Company Website,Hired
CAN000229,Benjamin,Uche,DEP005,JR035,2023-02-02,Job Portal,Rejected
CAN000230,James,Obi,DEP004,JR026,2020-02-04,Job Portal,Offered
CAN000231,Philip,Uche,DEP002,JR012,2025-02-21,Job Portal,Applied
CAN000232,Stephen,Eze,DEP001,JR005,2021-03-16,Company Website,Interviewed
CAN000233,Comfort,Uche,DEP005,JR040,2023-03-02,Indeed,Interviewed
CAN000234,Charity,Obasanjo,DEP002,JR010,2024-07-06,Campus Recruitment,Offered
CAN000235,Comfort,Ogunleye,DEP015,JR101,2020-06-01,Company Website,Interviewed
CAN000236,Juliet,Ibrahim,DEP005,JR037,2025-02-26,Referral,Shortlisted
CAN000237,Simon,Balogun,DEP014,JR095,2024-01-24,Referral,Interviewed
CAN000238,,Abiola,DEP004,JR034,2025-03-09,Company Website,Interviewed
CAN000239,Patience,Ekwueme,DEP007,JR052,2020-02-15,Job Portal,Hired
CAN000240,,Akinwale,DEP003,JR020,2023-11-06,LinkedIn,Hired
CAN000241,John,Olawale,DEP002,JR015,2025-04-19,LinkedIn,Applied
CAN000242,Nathaniel,Okonkwo,DEP005,JR035,2021-01-20,LinkedIn,Rejected
CAN000243,Hope,Olawale,DEP011,JR074,2022-10-18,Job Portal,Applied
CAN000244,Emmanuel,Oshodi,DEP011,JR081,2021-04-07,Company Website,Applied
CAN000245,Patience,Ekwueme,DEP009,JR065,2019-12-28,LinkedIn,Interviewed
CAN000246,Nathaniel,Adeyemi,DEP009,JR066,2025-08-21,Company Website,Hired
CAN000247,Peace,Uche,DEP002,JR011,2023-05-05,Campus Recruitment,Offered
CAN000248,Stephen,Okafor,DEP013,JR091,2020-06-10,Job Portal,Offered
CAN000249,Benjamin,Ekwueme,DEP005,JR039,2022-12-08,Job Portal,Interviewed
CAN000250,Emmanuel,Okafor,DEP001,JR005,2025-11-09,Referral,Interviewed
CAN000251,Gloria,Eze,DEP001,JR004,2025-02-08,LinkedIn,Offered
CAN000252,Charity,Adeyemi,DEP009,JR065,2020-05-13,LinkedIn,Interviewed
CAN000253,Emmanuel,Oyekan,DEP005,JR035,2024-12-27,Campus Recruitment,Applied
CAN000254,Victoria,Adeyemi,DEP007,JR053,2023-01-23,NIL,Offered
CAN000255,Juliet,Akinwale,DEP001,JR002,2024-09-10,LinkedIn,Applied
CAN000256,Benjamin,Okonkwo,DEP011,JR078,2023-03-25,Campus Recruitment,Hired
CAN000257,John,Ekwueme,DEP003,JR021,2021-04-05,Job Portal,Applied
CAN000258,Sarah,Ogunleye,DEP003,JR020,2022-10-19,Company Website,Offered
CAN000259,David,Akinwale,DEP006,JR044,2023-12-16,LinkedIn,Applied
CAN000260,Sarah,Abiola,DEP011,JR076,2023-03-17,LinkedIn,Accepted
CAN000261,Gabriel,Adeyemi,DEP007,JR056,2022-07-01,Job Portal,Hired
CAN000262,Peace,Nnamani,DEP010,JR071,2022-12-12,Company Website,Offered
CAN000263,Philip,Ogunleye,DEP008,JR063,2022-07-09,LinkedIn,Applied
CAN000264,Stephen,Ibrahim,DEP007,JR053,2021-08-01,Campus Recruitment,Offered
CAN000265,Blessing,Adeyemi,DEP001,JR005,2023-03-24,Campus Recruitment,Hired
CAN000266,Victoria,Oshodi,DEP010,JR070,2024-12-19,Company Website,Rejected
CAN000267,Samuel,Okafor,DEP011,JR078,2023-09-21,Company Website,Hired
CAN000268,Emmanuel,Ojo,DEP007,JR053,2023-08-14,Job Portal,Offered
CAN000269,Daniel,Akinwale,DEP011,JR077,2022-06-21,Campus Recruitment,Hired
CAN000270,Deborah,Eze,DEP014,JR096,2020-12-02,Job Portal,Rejected
CAN000271,Angela,Oshodi,DEP002,JR016,2022-02-26,Company Website,Interviewed
CAN000272,Deborah,Adetokunbo,DEP002,JR013,2024-07-15,Campus Recruitment,Interviewed
CAN000273,Paul,Obi,DEP002,JR010,2023-06-07,Job Portal,Applied
CAN000274,Philip,Oshodi,DEP004,JR030,2025-03-20,NIL,Shortlisted
CAN000275,Blessing,Okonkwo,DEP001,JR004,2021-07-15,Referral,Interviewed
CAN000276,James,Ekwueme,DEP003,JR023,2019-02-04,Job Portal,Shortlisted
CAN000277,Victoria,Nnamani,DEP014,JR100,2020-01-16,LinkedIn,Interviewed
CAN000278,Joseph,Ekwueme,DEP001,JR008,2022-09-19,Campus Recruitment,Hired
CAN000279,Daniel,Ekwueme,DEP006,JR042,2022-04-28,Referral,Applied
CAN000280,Simon,Oyekan,DEP007,JR053,2023-02-17,Referral,Hired
CAN000281,James,Ibrahim,DEP002,JR014,2022-11-09,Job Portal,Interviewed
CAN000282,Michael,Uche,DEP003,JR024,2025-08-27,Campus Recruitment,Shortlisted
CAN000283,Deborah,Oyekan,DEP012,JR083,2021-12-26,Job Portal,Shortlisted
CAN000284,Peace,Abiola,DEP013,JR094,2019-06-15,LinkedIn,Hired
CAN000285,Grace,Eze,DEP009,JR064,2019-12-11,Campus Recruitment,Applied
CAN000286,Juliet,Okafor,DEP015,JR106,2023-01-14,Referral,Interviewed
CAN000287,Cornelius,Balogun,DEP012,JR088,2024-03-19,Company Website,Rejected
CAN000288,Grace,Ojo,DEP003,JR022,2020-06-26,Campus Recruitment,Interviewed
CAN000289,Angela,Obi,DEP003,JR024,2023-07-01,Job Portal,Rejected
CAN000290,Stephen,Adeyemi,DEP003,JR021,2021-01-20,LinkedIn,Rejected
CAN000291,David,Oyekan,DEP004,JR028,2019-05-14,Job Portal,Offered
CAN000292,Cornelius,Ojo,DEP004,JR025,2025-08-13,LinkedIn,Hired
CAN000293,,Abiola,DEP007,JR050,2019-06-05,Job Portal,Offered
CAN000294,Peace,Okonkwo,DEP008,JR062,2025-08-04,Job Portal,Interviewed
CAN000295,Simon,Uche,DEP004,JR028,2019-12-20,Company Website,Appliedd
CAN000296,Ruth,Oyekan,DEP004,JR034,2019-02-01,Referral,Rejected
CAN000297,Peace,Oshodi,DEP008,JR062,2021-09-04,Referral,Applied
CAN000298,Deborah,Abiola,DEP001,JR004,2019-12-06,Company Website,Shortlisted
CAN000299,Joseph,Oyekan,DEP010,JR072,2021-05-07,LinkedIn,Shortlisted
CAN000300,Peter,Nnamani,DEP004,JR025,2025-12-19,Referral,Hired
CAN000301,Esther,Adeyemi,DEP009,JR066,2020-06-21,Job Portal,Rejected
CAN000302,Stephen,Balogun,DEP009,JR068,2023-07-25,Campus Recruitment,Hired
CAN000303,Comfort,Adeyemi,DEP015,JR102,2020-02-17,LinkedIn,Hired
CAN000304,Blessing,Oyekan,DEP014,JR099,2020-05-15,Referral,Rejected
CAN000305,Angela,Balogun,DEP010,JR070,2023-03-04,Referral,Applied
CAN000306,Joy,Balogun,DEP014,JR096,2020-08-27,Job Portal,Shortlisted
CAN000307,John,Ibrahim,DEP014,JR096,2019-11-28,Company Website,Hired
CAN000308,Ruth,,DEP003,JR018,2023-07-25,Job Portal,Shortlisted
CAN000309,John,Ojo,DEP011,JR079,2025-06-20,Campus Recruitment,Hired
CAN000310,Paul,Olawale,DEP004,JR027,2021-11-23,Company Website,Interviewed
CAN000311,David,Obi,DEP004,JR031,2021-06-21,Company Website,Applied
CAN000312,Peace,Oshodi,DEP007,JR053,2025-05-26,LinkedIn,Shortlisted
CAN000313,Andrew,Eze,DEP008,JR060,2025-06-27,Referral,Offered
CAN000314,Victoria,Okafor,DEP001,JR006,2019-12-08,LinkedIn,Rejected
CAN000315,Angela,Obi,DEP014,JR098,2021-07-23,Company Website,Offered
CAN000316,Blessing,Ojo,DEP004,JR033,2024-04-20,Company Website,Hired
CAN000317,Benjamin,Chukwu,DEP015,JR102,2019-09-04,Campus Recruitment,Interviewed
CAN000318,Samuel,Adeyemi,DEP014,JR100,2024-03-21,Campus Recruitment,Hired
CAN000319,Elizabeth,Akinwale,DEP007,JR051,2019-03-26,Campus Recruitment,Shortlisted
CAN000320,Angela,Chukwu,DEP002,JR010,2023-03-17,Job Portal,Applied
CAN000321,Nathaniel,Nnamani,DEP002,JR013,2019-04-25,Company Website,Rejected
